COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,QUANTITY,UNIT_OF_MEASURE,UNIT_OF_MEAS_DESC,UNIT_PRICE,ITM_TOT_AM,MASTER_AGREEMENT,CONTRACT_NAME,PURCHASE_ORDER,AWARD_DATE,VENDOR_CODE,LGL_NM,AD_LN_1,AD_LN_2,CITY,ST,ZIP,CTRY,DATA_BUILD_DATE
28512,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),TSXTLYEX - LINE TERMINATOR,0.,,,0.,437.34,MA5000GC250000004,SAR: QUOTE# 53-53433 MODICON X80 AND LINE TERMINATOR,DO220025040208406,04/02/2025,V00000907073,Elliott Electric Supply Inc,10605 Delta Drive,,Austin,TX,78758,US,04/06/2026
89064,Sewer Inspection Equipment,"Cues parts, components, and service associated with estimate #36442",0.,,,0.,18.50,MA2200GS240000003,"CLS, #36442, $563.50, Repairs, CH377 (21091086), CSS, WBSC",DO220025040208421,04/02/2025,VS0000015032,CLS Sewer Equipment Co. Inc.,726 S. Sherman St.,,Richardson,TX,75081,US,04/06/2026
2049692,"WARRANTY, EXTENDED, COMPUTER EQUIPMENT",AppleCare+ for 14-inch MacBook Pro (M4)  Start Date 04-07-2025  End Date 04-06-2029,0.,,,0.,223.20,MA5000NC230000020,HW_SV_Macbook for new employee,DO560025040108377,04/02/2025,V00000914785,"Complete Tablet Solutions, Ltd",11801 Stonehollow Dr.,125,Austin,TX,78758,US,04/06/2026
08585,Soil Erosion Sheeting Material (To Include Silt Fe,"Wire Staples, 8"" x 1""  Kindly send invoice within 5 days of invoice date.","1,000.",SQYD,Square Yard,0.09,90.00,MA6300GA230000031,PRFY2025-2002105_Alfred Vallejo_Erosion Control,DO630025040208410,04/02/2025,V00000964029,"Ferguson US Holdings, Inc",200 Park Central,,Georgetown,TX,78626,US,04/06/2026
20454,"Microcomputers, Laptop, Notebook and Tablets",Dell 90W USB-C AC Adapter,3.,EA,Each,44.5,133.50,MA5000NC220000084,Laptops for FSD Real Estate,DO560025040208434,04/02/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
34072,"Rescue Equipment, Supplies and Accessories Includi","ETA: 2025-04-07, PR256664, RELIEF VALVE, BUYBOARD 698-23    1. Item # MET-ITEM, HAR-HRV-250S-RK, RELIEF VALVE KIT, Qty. 20 each @ $45.00 each    Reference Quote # 106066 dated 03/28/2025 from Steve Fikac",0.,,,0.,900.00,MA5000NC240000033,"PR 256654, 256667, 256520,256664, 256669, BUYBOARD 698-23",DO830025040208419,04/02/2025,VC0000101452,METRO FIRE APPARATUS SPECIALISTS INC,17350 SH 249 - Suite 250,,Houston,TX,77064,US,04/06/2026
0708142,"TRAILER, GENERAL PURPOSE, SINGLE AXLE, DUAL WHEEL",ELECTRIC OPERATING      UNIT 6279         BuyBoard 687-22,1.,EA,Each,"7,208.5","7,208.50",MA7800GC250000001,FY 25 MAGNUM TRAILER,DO780025040208409,04/02/2025,MAG2992250,MAGNUM CUSTOM TRAILER MFG CO INC,10806 HWY 620 N,,AUSTIN,TX,78726-1709,US,04/06/2026
34072,"Rescue Equipment, Supplies and Accessories Includi","ETA: 2025-04-08, PR256669, SUPERVAC PARTS, BUYBOARD 698-23    1. Item # MET-ITEM SVI-005-18025, Shroud Sleeve, Qty. 5 @ $15.00 each  2. Item # MET-ITEM SVI-065-12852, Sealcon Straight, Qty. 5 each @ $4.00 each    Reference Quote # 106123 dated 03/31/2025 from Steve Fikac",0.,,,0.,95.00,MA5000NC240000033,"PR 256654, 256667, 256520,256664, 256669, BUYBOARD 698-23",DO830025040208419,04/02/2025,VC0000101452,METRO FIRE APPARATUS SPECIALISTS INC,17350 SH 249 - Suite 250,,Houston,TX,77064,US,04/06/2026
20454,"Microcomputers, Laptop, Notebook and Tablets",PR0018547  Quote No. 3000187884451.1    SI# B1BX26 Dell Latitude 5350 XCTO Base,6.,EA,Each,"1,391.54","8,349.24",MA5000NC220000084,Laptops for FSD Real Estate,DO560025040208434,04/02/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
19085,Sodium Phosphates and Polyphosphates,Liquid Phosphate (Sodium Hexametaphosphate)  - Handcox WTP - APR-JUN25 (3RD QTR 2025),"3,437.6068",GAL,Gallon,11.0682,"38,048.12",MA2200GA230000051,Sodium Hex  - Handcox WTP - APR-JUN25 (3RD QTR 2025),DO220025040208402,04/02/2025,V00000968540,Condy Holdings LLC,315 Fifth Street,,Peru,IL,61354,US,04/06/2026
89064,Sewer Inspection Equipment,SEND INVOICES TO AWLOGTICSSC@AUSTINTEXAS.GOV.,0.,,,0.,50.00,MA2200GS240000003,"CLS, #36442, $563.50, Repairs, CH377 (21091086), CSS, WBSC",DO220025040208421,04/02/2025,VS0000015032,CLS Sewer Equipment Co. Inc.,726 S. Sherman St.,,Richardson,TX,75081,US,04/06/2026
8856040,FERRIC SULFATE (FESO4),Liquid ferric sulfate - Handcox WTP - APR-JUN25 (3RD QTR 2025) - unit is $1.04 per dry pound,0.,,,0.,"20,158.91",MA2200GA240000012,Liquid ferric sulfate - Handcox WTP - APR-JUN25 (3RD QTR25),DO220025040208399,04/02/2025,V00000998932,"USALCO, LLC",2601 Cannery Ave,,Baltimore,TX,21236,US,04/06/2026
34072,"Rescue Equipment, Supplies and Accessories Includi","ETA: 2025-04-08, PR256520, GEAR KEEPER, BUYBOARD 698-23    1. Item # BUL-ECLRETRACT, ECLIPSE RETRACTABLE STRAP, Qty. 20 each @ $72.00 each    Reference Quote # 106048 dated 03/27/2025 from Steve Fikac",0.,,,0.,"1,440.00",MA5000NC240000033,"PR 256654, 256667, 256520,256664, 256669, BUYBOARD 698-23",DO830025040208419,04/02/2025,VC0000101452,METRO FIRE APPARATUS SPECIALISTS INC,17350 SH 249 - Suite 250,,Houston,TX,77064,US,04/06/2026
20464,"Network Components: Adapter Cards, Bridges, Connec",,2.,UNIT,Unit,"1,189.23","2,378.46",MA5000NC230000106,HW_SV_Cisco Rugged 10 Port Switch,DO560025040208447,04/02/2025,COM7062925,INSIGHT PUBLIC SECTOR INC,9600 North Mopac Expressway,Suite 325 Bld. II Stonebridge Plaza,Austin,TX,78759,US,04/06/2026
89045,"Meter Fittings, Water, Accessories, Parts, and Con",4in & 8in Cla Val PRV's & Accessories,0.,,,0.,81.18,MA2200GA240000020,4in & 8in Cla Val PRV's & Accessories,DO220025040208436,04/02/2025,ACT7090725,ACT PIPE & SUPPLY INC,1400 GRAND AVE PKWY,,PFLUGERVILLE,TX,78660,US,04/06/2026
08585,Soil Erosion Sheeting Material (To Include Silt Fe,Coconut Fiber Temporary Erosion Control Blanket with all organic Material,"3,581.00559",SQYD,Square Yard,1.79,"6,410.00",MA6300GA230000031,PRFY2025-2002105_Alfred Vallejo_Erosion Control,DO630025040208410,04/02/2025,V00000964029,"Ferguson US Holdings, Inc",200 Park Central,,Georgetown,TX,78626,US,04/06/2026
425,FURNITURE: OFFICE,John Henry Faulk Library - Demountable Partition Walls,0.,,,0.,"122,392.02",MA5000NC230000073,John Henry Faulk Library - Demountable Partition Walls,DO850025040208450,04/02/2025,V00000906186,MCCOY-ROCKFORD INC,211 East Riverside Dr.,,AUSTIN,TX,78704,US,04/06/2026
0704800,Trucks (One Ton and Less Capacity),ELECTRIC OPERATING    UNIT 6320    TX SMARTBUY 070-A1,1.,EA,Each,"81,295.4","81,295.40",MA7800GC250000001,FY 25 SILSBEE FORD,DO780025040208404,04/02/2025,V00000918757,SILSBEE FORD INC,1211 US HIGHWAY 96 NORTH,,SILSBEE,TX,77656,US,04/06/2026
20880,"Software, Microcomputer (Not Otherwise Classified)",ServiceNow FY25 licensing  Year 3 Subscription Software Licenses 4/1/25 - 3/31/26,0.,,,0.,"1,544,870.53",MA1100NA230000034,SW_ServiceNow FY25 licensing_Reed Garner,DOM1100MAX225072,04/02/2025,V00000981480,Fujitsu North America Inc.,2801 Telecom Parkway,,"Richardson, TX75082",TX,75082,US,04/06/2026
0704800,Trucks (One Ton and Less Capacity),ELECTRIC OPERATING    UNIT 6323    TX SMARTBUY 070M1,1.,EA,Each,"92,469.91","92,469.91",MA7800GC250000001,FY 25 SILSBEE FORD,DO780025040208404,04/02/2025,V00000918757,SILSBEE FORD INC,1211 US HIGHWAY 96 NORTH,,SILSBEE,TX,77656,US,04/06/2026
89045,"Meter Fittings, Water, Accessories, Parts, and Con",4in & 8in Cla Val PRV's & Accessories,0.,,,0.,"1,832.14",MA2200GA240000020,4in & 8in Cla Val PRV's & Accessories,DO220025040208436,04/02/2025,ACT7090725,ACT PIPE & SUPPLY INC,1400 GRAND AVE PKWY,,PFLUGERVILLE,TX,78660,US,04/06/2026
89064,Sewer Inspection Equipment,"Cues parts, components, and service",0.,,,0.,165.00,MA2200GS240000003,"CLS, #36442, $563.50, Repairs, CH377 (21091086), CSS, WBSC",DO220025040208421,04/02/2025,VS0000015032,CLS Sewer Equipment Co. Inc.,726 S. Sherman St.,,Richardson,TX,75081,US,04/06/2026
20490,"Scanners and Readers, Optical Character: Bar Code,",PR0018036  DIR-CPO-4504 /SQ-63683   3D Scanner plus associated software,0.,,,0.,"116,944.98",MA5000NC250000001CITYWIDE,3D Scanning device plus associated software,DOK560025032800012,04/02/2025,V00000957905,"ALLTERRA CENTRAL, INC",ALLTERRA CENTRAL,200 E HUNTLAND DR.,AUSTIN,TX,78752,US,04/06/2026
89045,"Meter Fittings, Water, Accessories, Parts, and Con",24in DI Restraint Kits,0.,,,0.,"3,549.00",MA2200GA240000020,24in DI Restraint Kits,DO220025040208432,04/02/2025,ACT7090725,ACT PIPE & SUPPLY INC,1400 GRAND AVE PKWY,,PFLUGERVILLE,TX,78660,US,04/06/2026
0704800,Trucks (One Ton and Less Capacity),ELECTRIC OPERATING      UNIT 6321      TX SMARTBUY 070-A1,1.,EA,Each,"90,750.97","90,750.97",MA7800GC250000001,FY 25 SILSBEE FORD,DO780025040208404,04/02/2025,V00000918757,SILSBEE FORD INC,1211 US HIGHWAY 96 NORTH,,SILSBEE,TX,77656,US,04/06/2026
20560,"Monitors, Color and Monochrome, Environmentally Certified",PR0018531  Quote No.: 3000187596289  TX- DIR-TSO-3763    34 Curved Conferencing Monitor,3.,EA,Each,555.,"1,665.00",MA5000NC220000084,34 Curved Conferencing Monitor,DO560025040208423,04/02/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
89045,"Meter Fittings, Water, Accessories, Parts, and Con",4in & 8in Cla Val PRV's & Accessories,0.,,,0.,56.42,MA2200GA240000020,4in & 8in Cla Val PRV's & Accessories,DO220025040208436,04/02/2025,ACT7090725,ACT PIPE & SUPPLY INC,1400 GRAND AVE PKWY,,PFLUGERVILLE,TX,78660,US,04/06/2026
20900,COMPUTER SOFTWARE FOR MINI AND MAINFRAME COMPUTERS,,1.,EA,Each,"6,712.57","6,712.57",,Schweitzer Clocks for CE,CTM1100MAX223786,04/02/2025,SCH4135650,SCHWEITZER ENGINEERING LABORATORIES INC,2350 NE HOPKINS CT,,PULLMAN,WA,99163,US,04/06/2026
34072,"Rescue Equipment, Supplies and Accessories Includi","ETA: 2025-04-03, EV NOZZLE ADAPTER, PR 256654,   BUYBOARD 698-23    1. Item # MET-ITEM, HAR-H53-15NH-10PT, Qty. 10 each @ $95.00 each    Reference Quote # 105953 dated 03/25/2025 from Steve Fikac",0.,,,0.,950.00,MA5000NC240000033,"PR 256654, 256667, 256520,256664, 256669, BUYBOARD 698-23",DO830025040208419,04/02/2025,VC0000101452,METRO FIRE APPARATUS SPECIALISTS INC,17350 SH 249 - Suite 250,,Houston,TX,77064,US,04/06/2026
7251430,"CHARGERS, BATTERY",Iridium Rechargeable Standard Capacity Lithium Ion Battery for Iridium Extreme (9575) Battery life: up to 4 hours talk time; 30 hours standby  (P/N:BAT31001),3.,EA,Each,75.,225.00,,Iridium Rechargeable Batteries for Emergency Management,PO870025040201129,04/02/2025,VS0000025096,GIT Satellite LLC,13740 Research Blvd,Q-2,Austin,TX,78750,US,04/06/2026
34072,"Rescue Equipment, Supplies and Accessories Includi","ETA:2025-04-14, PR256667, TIC UPGRADE, BUYBOARD 698-23    1. Item # MET-ITEM, BUL-XTFEATUREBASICTOADVANCE, Qty. 1 each @ $557.00    Reference Quote # 106119 dated 03/31/2025 from Steve Fikac",0.,,,0.,557.00,MA5000NC240000033,"PR 256654, 256667, 256520,256664, 256669, BUYBOARD 698-23",DO830025040208419,04/02/2025,VC0000101452,METRO FIRE APPARATUS SPECIALISTS INC,17350 SH 249 - Suite 250,,Houston,TX,77064,US,04/06/2026
89064,Sewer Inspection Equipment,"Cues parts, components, and service",0.,,,0.,330.00,MA2200GS240000003,"CLS, #36442, $563.50, Repairs, CH377 (21091086), CSS, WBSC",DO220025040208421,04/02/2025,VS0000015032,CLS Sewer Equipment Co. Inc.,726 S. Sherman St.,,Richardson,TX,75081,US,04/06/2026
20464,"Network Components: Adapter Cards, Bridges, Connec",,2.,UNIT,Unit,"6,219.05","12,438.10",MA5000NC230000106,HW_SV_Cisco Rugged 10 Port Switch,DO560025040208447,04/02/2025,COM7062925,INSIGHT PUBLIC SECTOR INC,9600 North Mopac Expressway,Suite 325 Bld. II Stonebridge Plaza,Austin,TX,78759,US,04/06/2026
20464,"Network Components: Adapter Cards, Bridges, Connec",PR0018451  Quotation Number :0228188159,18.,UNIT,Unit,306.19,"5,511.42",MA5000NC230000106,HW_SV_Cisco Rugged 10 Port Switch,DO560025040208447,04/02/2025,COM7062925,INSIGHT PUBLIC SECTOR INC,9600 North Mopac Expressway,Suite 325 Bld. II Stonebridge Plaza,Austin,TX,78759,US,04/06/2026
20454,"Microcomputers, Laptop, Notebook and Tablets",Dell Thunderbolt(TM) Dock - WD22TB4,3.,EA,Each,198.74,596.22,MA5000NC220000084,Laptops for FSD Real Estate,DO560025040208434,04/02/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
1203025,KAYAKS,"Camacho Activity Center replacing aged, broken kayaks for popular senior kayaking programs.    Contact Person: Ryan Eaker 512-978-2420    Quote    8 @ $750.00 Wilderness Systems Pungo 105 kayak = $6,000.00  12 @ $820.00 Wilderness Systems Pungo 125 kayak = $9840.00  2 @ $1070.00 Wilderness Systems Targa 130T tandem kayak = $2140.00    Total $17.980.00    Sourcing Number 142610",8.,EA,Each,750.,"6,000.00",,Camacho Kayaks for Senior programs,CT860025040300304,04/03/2025,V00000987452,Guillermo Guerra,AMG SUPPLY,28422 ELI EAGLE ST,KATY,TX,77494,US,04/06/2026
33518,Anhydrous Ammonia,"Anhydrous Ammonia @ .93 per lb  Davis deliveries for the months of APR, MAY, JUN 2025   Email invoices to: Admin.Davis@austintexas.gov  Chemical delivery notice to be emailed a minimum of 4 hours prior to delivery to: DavisCDN@cityofaustin.onmicrosoft.com",0.,,,0.,"31,261.95",MA2200GA240000067,SHRIEVE - DAVIS - AMMONIA - Q3 2025 APR MAY JUN,DO220025040308462,04/03/2025,V00000936846,"Shrieve Chemical Company, LLC",1442 Lake Front Cir,,The Woodlands,TX,77380,US,04/06/2026
0704800,Trucks (One Ton and Less Capacity),TPW    UNIT 5486 5469 5495      RFP 071-80,3.,EA,Each,"99,745.46","299,236.38",MA7800GC200000002,FY 25 LAKE COUNTRY CHEVROLET,DO780024071112101A,04/03/2025,V00000952689,"LAKE COUNTRY CHEVROLET, INC",2152 N. WHEELER,,JASPER,TX,75951,US,04/06/2026
20600,COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAI,Start Date: 04-02-2025  End Date:  04-02-2028,1.,EA,Each,263.12,263.12,MA5000NC230000020,"HW, SW, SV_11"" iPad Pro with Magic keyboard, screen protecto",DO560025040208427,04/03/2025,V00000914785,"Complete Tablet Solutions, Ltd",11801 Stonehollow Dr.,125,Austin,TX,78758,US,04/06/2026
8507445,"NETTING, 100% POLYESTER MESH","Quantity of 42 -10MM Nets, 92"" Flat x 72"" Long with an additional 24"" of rope on both sides",42.,EA,Each,708.5,"29,757.00",,FY2025-2002031_StormX Nets for WCT_,CT630025040300300,04/03/2025,V00000954752,"Storm Water Systems, Inc.",196 Industrial Blvd.,,Cleveland,GA,30528,US,04/06/2026
55970,"Signage (Incls. Destination, Routing and Advertisi",PAP AIPP 927 Stainless Steel Plaques,1.,EA,Each,"1,225.","1,225.00",MA5500NA240000221,PAP AIPP 927 Stainless Steel Plaques,DO550025040308511,04/03/2025,V00000939345,Dana Perrotti,6709 Tampa Cv,,Austin,TX,78723,US,04/06/2026
89045,"Meter Fittings, Water, Accessories, Parts, and Con","QTY: 1 - PN: SP-HP8001LW06 - 6"" PRATT 8001 FLG CHK VLV LVR & WT",0.,,,0.,"1,850.00",MA2200GA240000020,"FEGUSON - SFC - 8"" / 6"" CHECK VALVES - APR 2025",DO220025040308483,04/03/2025,V00000964029,"Ferguson US Holdings, Inc",200 Park Central,,Georgetown,TX,78626,US,04/06/2026
2803055,"CABLE, POWER CONTROL","GPU Control Boards for Warehouse Stock    Quote dated April 2, 2025    2 EA BOARD,PRINTED CIRCUIT- A1  Control Board -GPU @ $3,150 = $6,300",0.,,,0.,"6,300.00",MA8100GA200000066,"BOARD,PRINTED CIRCUIT- A1  Control Board -GPU",DO810025040308471,04/03/2025,V00000956243,AGSA LLC,30 Hub Dr.,,Melville,NY,11747,US,04/06/2026
4050705,"ADDITIVES, FUEL",,0.,,,0.,"7,237.38",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025040308469,04/03/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
65595,Video Equipment and Accessories,AUDIO/VIDEO ROUTING UPGRADE,0.,,,0.,"500,000.00",MA5000NA210000123,AUDIO/VIDEO ROUTING UPGRADE,DO590025040308514,04/03/2025,HEA6033510,"HEART OF TEXAS MUSIC, INC",1002 S LAMAR BLVD,,AUSTIN,TX,78704-2383,US,04/06/2026
65595,Video Equipment and Accessories,TOWN LAKE CENTER,0.,,,0.,"495,090.00",MA5000NA210000123,TOWN LAKE CENTER,DO590025040308515,04/03/2025,HEA6033510,"HEART OF TEXAS MUSIC, INC",1002 S LAMAR BLVD,,AUSTIN,TX,78704-2383,US,04/06/2026
89045,"Meter Fittings, Water, Accessories, Parts, and Con","QTY: 2 - PN: SP-HP8001LW08 - 8"" PRATT 8001 FLG CHK VLV LVR & WT",0.,,,0.,"5,600.00",MA2200GA240000020,"FEGUSON - SFC - 8"" / 6"" CHECK VALVES - APR 2025",DO220025040308483,04/03/2025,V00000964029,"Ferguson US Holdings, Inc",200 Park Central,,Georgetown,TX,78626,US,04/06/2026
1203025,KAYAKS,"Camacho Activity Center replacing aged, broken kayaks for popular senior kayaking programs.    Contact Person: Ryan Eaker 512-978-2420    Quote    8 @ $750.00 Wilderness Systems Pungo 105 kayak = $6,000.00  12 @ $820.00 Wilderness Systems Pungo 125 kayak = $9840.00  2 @ $1070.00 Wilderness Systems Targa 130T tandem kayak = $2140.00    Total $17.980.00    Sourcing Number 142610",2.,EA,Each,"1,070.","2,140.00",,Camacho Kayaks for Senior programs,CT860025040300304,04/03/2025,V00000987452,Guillermo Guerra,AMG SUPPLY,28422 ELI EAGLE ST,KATY,TX,77494,US,04/06/2026
20454,"Microcomputers, Laptop, Notebook and Tablets","iPad Pro 11-inch (M4) - Apple M4 Chip, 10-Core CPU, 10-Core GPU, 16-core Neural Engine - 11Inch Ultra Retina XDR display, Multi-touch 2420x  Start Date: 04-02-2025  End Date:  04-02-2028",1.,EA,Each,"1,471.08","1,471.08",MA5000NC230000020,"HW, SW, SV_11"" iPad Pro with Magic keyboard, screen protecto",DO560025040208427,04/03/2025,V00000914785,"Complete Tablet Solutions, Ltd",11801 Stonehollow Dr.,125,Austin,TX,78758,US,04/06/2026
03752,Novelties and Advertising Specialty Products,DO for Color Print 8.5x5.5 4/4- (500 double sided flyers)  .  Please send invoices to:  DSDaccountspayable@austintexas.gov,0.,,,0.,75.00,MA5000NA230000044,DO for Color Print 8.5x5.5 4/4- (500 double sided flyers),DO530025040308478,04/03/2025,PRI8322492,"PrintMPro, LTD.",9011 Tuscany Way,Suite 200,AUSTIN,TX,78754,US,04/06/2026
1203025,KAYAKS,"Camacho Activity Center replacing aged, broken kayaks for popular senior kayaking programs.    Contact Person: Ryan Eaker 512-978-2420    Quote    8 @ $750.00 Wilderness Systems Pungo 105 kayak = $6,000.00  12 @ $820.00 Wilderness Systems Pungo 125 kayak = $9840.00  2 @ $1070.00 Wilderness Systems Targa 130T tandem kayak = $2140.00    Total $17.980.00    Sourcing Number 142610",12.,EA,Each,820.,"9,840.00",,Camacho Kayaks for Senior programs,CT860025040300304,04/03/2025,V00000987452,Guillermo Guerra,AMG SUPPLY,28422 ELI EAGLE ST,KATY,TX,77494,US,04/06/2026
80072,"Shoes, Safety Toe",Liam Moran-Goss,0.,,,0.,106.00,MA5000GA240000018,Safety Shoes for Liam Moran-Goss,DO220025040308486,04/03/2025,SAF8312582,SAFETY SHOE DISTRIBUTORS L L P,7425 BURNET RD,,AUSTIN,TX,78757-2244,US,04/06/2026
20560,"Monitors, Color and Monochrome, Environmentally Certified",Dell Pro 27 Plus Monitor - P2725H,50.,EA,Each,158.12,"7,906.00",MA5000NC220000084,HW_Dell Computer Stations for Ops Floor,DO560025040308463,04/03/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
40502303004,E10 - ETHANOL,,0.,,,0.,"64,704.61",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025040308469,04/03/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
20710,COMPUTER ACCESSORIES AND SUPPLIES,Start Date: 04-02-2025  End Date:  04-02-2028,1.,EA,Each,113.52,113.52,MA5000NC230000020,"HW, SW, SV_11"" iPad Pro with Magic keyboard, screen protecto",DO560025040208427,04/03/2025,V00000914785,"Complete Tablet Solutions, Ltd",11801 Stonehollow Dr.,125,Austin,TX,78758,US,04/06/2026
24091,"Stainless Steel Ware: Cooking Utensils, Flatware,","ETA: 2025-03-28, PR256635, Station Kitchen Supplies    1. Item # DWLASP-2C, Pot Cover, 2.5 Qt., Aluminum, Qty. 8 each @ $5.13 each  2. Item # DWLIGD-2095, Griddle, Cast Iron, Reversible Grill, Qty. 6 each @ $40.15 each  3. Item # DWLVP-303, Peeler, Vegetable/Potato, SST, Qty. 10 each @ $5.43 each  4. Item # DWLBSPN-13, Spoon, Serving, Perforated, SST, 13"", Qty. 6 each @ $3.28 each    Reference Quote from Elizabeth Perry",0.,,,0.,355.92,MA8300NA250000037,"ETA: 2025-03-28, PR256635, Station Kitchen Supplies",DO830025040308508,04/03/2025,V00000980303,Lodging Kit Company,13492 State Route 12,,Boonville,NY,13309,US,04/06/2026
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,"ETA: 2025-03-17, PR256625, PHENIX HELMETS, BUYBOARD 698-23    1. Item No. PHE003DESS, Phenix, PHE003DESS, EYE PROTECTIONS: ESS Firepro goggle with retainers & ESS Snap on/off kit SUSPENSION: RATCHET with 8"" BLACK detachable earlaps Thermoplastic injection molded shall, impact cap, Nomex postman slide chinstrap, and lime-yellow reflective 1 inch x 4 inch strips; Qty. 40 each (Color/Qty. listed below) @ $295.34 each  ORANGE: Qty. 20 each  RED: Qty. 15 each  WHITE: Qty. 5 each  2. Item No. PHE602.1, Phenix, PHE602.1, D-RING for Rear Brim (includes brass hardware); Qty. 40 each @ $6.98 each  3. Item No. PHE413, Phenix, PHE413, PHENIX ID BRACKET W/ HARDWARE, Qty. 40 each @ $12.29 each    Reference Quote # QUOTE-6829 dated 03/06/2025",0.,,,0.,"12,584.40",MA5000NC240000033,"ETA: 2025-03-17, PR256625, PHENIX HELMETS, BUYBOARD 698-23",DO830025040308460,04/03/2025,V00000929555,Delta Fire & Safety Inc,3159 Summit Drive,,Port Neches,TX,77651,US,04/06/2026
20710,COMPUTER ACCESSORIES AND SUPPLIES,SI# B1BX26 Precision 3460 SFF CTO BASE,10.,EA,Each,"1,435.","14,350.00",MA5000NC220000084,HW_Dell Computer Stations for Ops Floor,DO560025040308463,04/03/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,,1.,EA,Each,125.,125.00,MA7400S060166,LCRA GLOVE REPLACEMENT,DOM1100MAX225221,04/03/2025,LOW2955750,LOWER COLORADO RIVER AUTHORITY,3625 LAKE AUSTIN BLVD,,AUSTIN,TX,78703-3501,US,04/06/2026
20710,COMPUTER ACCESSORIES AND SUPPLIES,SI# B1BX26 OptiPlex Small Form Factor 7020 XCTO,10.,EA,Each,955.,"9,550.00",MA5000NC220000084,HW_Dell Computer Stations for Ops Floor,DO560025040308463,04/03/2025,DEL1512250,DELL MARKETING LP,"Dell, Inc.",One Dell Way,ROUND ROCK,TX,78682-0001,US,04/06/2026
4050935,DIESEL FUEL (MOTOR FUEL),,0.,,,0.,"147,126.13",MA7800GA240000081,Bulk Fuels - Pinnacle - Weekly DO,DO780025040308469,04/03/2025,V00000905922,Pinnacle Petroleum Incorporated,16651 Gemini Lane,,Huntington Beach,CA,92647,US,04/06/2026
55031,"Markers, Traffic, Concrete","BUY BOARD CONTRACT #703-23  Item No. 10552-000  10F [P] METRO TRAFFIC BUTTONS 10"" (CONCRETE)",200.,EA,Each,28.8,"5,760.00",,SMD Concrete Buttons,CT620025040300301,04/03/2025,CEN8308381,"CENTERLINE SUPPLY, INC.",530 JESSE ST,,GRAND PRAIRIE,TX,75051-1142,US,04/06/2026
28512,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),"Quote # S013766498    Buyboard 756-24    1 EA BREAKER,CIRCUIT- Molded Case, 50-125A, 3 Pole (Oshkosh) Catalog # 8015644788919 @ $1,235.29  1 EA BREAKER,CIRCUIT- Molded Case, 200A, 3Pole (Oshkosh) Catalog # 8015644791148 @ $1,200.00  1 EA BREAKER,CIRCUIT- Molded Case, 100A, 3 Pole (Oshkosh) Catalog # 8015644786533 @ $500.00  2 EA BREAKER,CIRCUIT- Molded Case, 30A, 3 Pole (Oshkosh) Catalog # 8015644786441 @ $411.76 = $823.52",0.,,,0.,"3,758.81",MA5000GC250000004,Breakers for Warehouse (NEW)Stock,DO810025040308507,04/03/2025,VS0000007190,"CRAWFORD ELECTRIC SUPPLY COMPANY, INC",6517 Burleson Rd,,Austin,TX,78744,US,04/06/2026
28512,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),QTY (2) - 2147A48G11 - COIL SJ 400A 120V AC,0.,,,0.,"4,807.70",MA5000GC250000004,ULLRICH- ELLIOTT ELECTRIC- COILS- APR 2025,DO220025040308467,04/03/2025,V00000907073,Elliott Electric Supply Inc,10605 Delta Drive,,Austin,TX,78758,US,04/06/2026
